loop,status,IC,Rank_IC,ARR_cost,ARR_nocost,MaxDD_cost,factor_names
0,ok,-0.0054729724961816,-0.0021827523937823,-0.0953584840168716,-0.0926585612436333,-0.2831697617476383,Close_to_MA10_Ratio | Volume_Anomaly_5_20 | Realized_Volatility_10
1,ok,-0.0014039354145259,0.0013263489372812,-0.1556246181576469,-0.1538761474583977,-0.3955712015081454,Sector_Adjusted_Price_to_MA30_Ratio | Amihud_Illiquidity_Ratio_20 | Volume_Spike_Factor_1_20
2,ok,0.0020393950587991,0.0047257087205705,-0.0694147695456549,-0.067080009081283,-0.1770002777127941,Open_to_PreClose_1 | Intraday_Reversal_1 | ATR_14
3,ok,-0.007689410793786,-0.0054990302469201,-0.1192114027110393,-0.1144455747369826,-0.2973304249105951,ATR_TrueRange_14 | Volume_Imbalance_5 | Return_Skewness_10
4,ok,-0.005683036244099,-0.0020256051533986,-0.1536246586864762,-0.1488943266618301,-0.3717448532211341,ATR_EWMA_14_Decay0.94 | Volume_Imbalance_EWMA_5_Decay0.94 | CrossSectional_Momentum_5_ZScore
5,ok,0.0036651580344024,0.0002336612809448,-0.0069359833604525,-0.0054869749296868,-0.1282677976767146,Drawdown_Ratio_20 | Volume_Percentile_20 | Return_Kurtosis_10
6,ok,0.0010718524684365,-0.002373085187513,-0.0544975202142009,-0.0533867473560425,-0.1819322953402818,Sector_Adjusted_Price_to_MA30_Ratio | Sector_Relative_Volume_Percentile_20 | PCA_Return_20_PC1
7,ok,-0.0005971055537444,0.0006209608945544,-0.0405342663330602,-0.0381606344596985,-0.1597487456175595,Sector_Adjusted_Price_to_MA30_Ratio_ZScore | Sector_Relative_Volume_Percentile_20_ZScore | PCA_EWMA20_Return_PC1_ZScore
8,ok,0.0005133186144424,-0.0035760749919023,-0.0920157905823668,-0.0896642626804144,-0.2538060911227557,Drawdown_Ratio_20_MedianMAD | Volume_Percentile_20_MedianMAD | Return_Kurtosis_10_MedianMAD | Downside_Variance_10_MedianMAD
9,ok,-0.0015304295906367,-0.001012532111266,-0.0799723824070058,-0.0753050039590281,-0.2318240894048054,Drawdown_Ratio_20_WinsorizedZ | Volume_Percentile_20_WinsorizedZ | Return_Kurtosis_10_WinsorizedZ | Downside_Variance_20_WinsorizedZ
10,ok,0.004436868331911,0.0017875612329119,-0.0833586480997047,-0.0802238504296089,-0.2403521225486879,Drawdown_Ratio_20_RankNorm | Volume_Percentile_20_RankNorm | Return_Kurtosis_10_RankNorm | Momentum_Rank_5_RankNorm | Composite_Signal_IC_Weighted
11,no_runner,,,,,,
12,ok,-0.0013001338147204,-1.3008571080661337e-05,-0.0746247797586962,-0.072963121633982,-0.2574025478938482,PCA_Volume_20_PC1 | Spectrum_Momentum_10 | Volume_AC_5
13,ok,-0.0015354031441855,-0.003902980154107,-0.0407631958324029,-0.0390947519500702,-0.1854143073403397,Sector_Corr_20 | Idio_Vol_20 | Residual_Mom_5
14,ok,-0.0063505450106394,-0.0021095918804913,-0.0757961288811972,-0.0710128129148834,-0.2114241578091749,Position_in_52Week_Range_252 | Volume_Return_Corr_10 | Ridge_Pred_60_10
15,ok,0.0009474243523728,-0.0049314739528044,-0.077486319705792,-0.0748769705633671,-0.2201343628320401,RF_Pred_60_10 | AE_Return_Encode_10 | KMeans_Return_Dist_10
16,ok,0.0022722641246668,-0.002302438378918,-0.0154403652601089,-0.0140294344562456,-0.1555512403162371,GNN_Embed_20 | TFT_Pred_30 | LGBM_CSRT_10
17,ok,-0.0016037786310156,-0.0045695716578341,-0.0533444747269562,-0.0507336216334033,-0.1931155512522415,GNN_Embed_30 | TFT_Pred_30 | LGBM_CSRT_30
18,ok,0.0030765262340786,0.0004398580527267,-0.0509825788300637,-0.0468917124973674,-0.2599411144699279,Sector_Corr_20 | Idio_Vol_20 | Residual_Mom_5
19,no_runner,,,,,,
