period,start,end,n_drop,pred_hash,annualized_return_with_cost,annualized_return_without_cost,annualized_cost_drag,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,average_number_of_positions,n_backtest_days
full_sample_2020_2023,2020-01-01,2023-12-31,1,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1178507913230027,-0.1175543753683903,0.0002964159546123,-0.380477202717231,-0.7185582533645748,0.01245445187447,20.86182902584493,1006
full_sample_2020_2023,2020-01-01,2023-12-31,2,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1113093366471705,-0.1106528669162236,0.0006564697309469,-0.3705982743320816,-0.8098446594917962,0.0275827618044921,21.693836978131213,1006
full_sample_2020_2023,2020-01-01,2023-12-31,3,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1330197633387842,-0.1323756967436564,0.0006440665951278,-0.4621227136985383,-0.7028690231342065,0.0270616216440259,22.70178926441352,1006
full_sample_2020_2023,2020-01-01,2023-12-31,4,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.0567163918225293,-0.0550531149509113,0.0016632768716179,-0.1873101782460489,-0.6966225588306771,0.0698855828410892,23.24751491053678,1006
full_sample_2020_2023,2020-01-01,2023-12-31,5,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1256068944596756,-0.1230188721805555,0.00258802227912,-0.3907028284881108,-0.7098185553965267,0.1087404318958025,23.817097415506957,1006
full_sample_2020_2023,2020-01-01,2023-12-31,6,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.0802906547906183,-0.0757747370187213,0.0045159177718969,-0.2485347585589169,-0.6993282292413651,0.1897444441973534,23.911530815109344,1006
full_sample_2020_2023,2020-01-01,2023-12-31,7,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1026586936007153,-0.0979976448491962,0.004661048751519,-0.3242214857775885,-0.78634192793535,0.1958423845176081,24.794234592445328,1006
full_sample_2020_2023,2020-01-01,2023-12-31,8,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.0689023028399531,-0.0616259837558737,0.0072763190840794,-0.2177036448794226,-0.724240167968009,0.305727692608379,24.451292246520875,1006
full_sample_2020_2023,2020-01-01,2023-12-31,10,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1092346475406526,-0.0989480911940915,0.0102865563465611,-0.3527773588665752,-0.791129418005136,0.4322082498555064,24.84592445328032,1006
full_sample_2020_2023,2020-01-01,2023-12-31,15,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.0890710971084421,-0.0686214833791849,0.0204496137292571,-0.2889301510072405,-0.7422549632143072,0.8592274676158476,24.501988071570576,1006
full_sample_2020_2023,2020-01-01,2023-12-31,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1209981848837688,-0.0931687782220766,0.0278294066616922,-0.388186117771998,-0.7297637697308751,1.1693028009114468,23.566600397614312,1006
2020Q1_COVID,2020-01-01,2020-03-31,1,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.3684796866331266,-1.3658047608325694,0.0026749258005571708,-2.786611664245488,-0.4299815767729555,0.11239184035954795,19.677419354838708,62
2020Q1_COVID,2020-01-01,2020-03-31,2,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.0871761876237045,-1.0831793911019931,0.0039967965217113655,-2.6912456575288983,-0.35679221082073576,0.16793262696266797,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,3,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.3387736660471008,-1.3324222883081243,0.006351377738976538,-2.886102652329553,-0.4203243092127913,0.2668646108813681,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,4,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.807036180240465,-0.7975721116493937,0.009464068591071295,-1.8024110680386842,-0.3879911811306517,0.39764994080131993,19.677419354838708,62
