n_drop,topk,pred_hash,config_hash,annualized_return_with_cost,annualized_return_without_cost,annualized_cost_drag,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,average_number_of_positions,densification_new_point
1,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,8221884eac2626e9aaa37d3a4bc70b468cf2b9cd0d4ded77fd9176506cb061b2,-0.11785079132300272,-0.11755437536839033,0.00029641595461238346,-0.380477202717231,-0.7185582533645748,0.012454451874470038,20.86182902584493,False
2,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,a6661db98addd4f8a653b44ce77146cfcf6232f302f22fc1ee2c6e34ae2eca29,-0.1113093366471705,-0.1106528669162236,0.000656469730946907,-0.3705982743320816,-0.8098446594917962,0.027582761804492182,21.693836978131213,False
3,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,46fb569c565a6f1175cfccdc7981fb9a796d192e987a1eb9a7a3bd757bb7f757,-0.13301976333878424,-0.13237569674365643,0.0006440665951278068,-0.46212271369853836,-0.7028690231342065,0.027061621644025945,22.70178926441352,True
4,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,4adaaf41230928d3fe258e39bb5125580447dca00bba2f095c3976ba7eb4ef34,-0.0567163918225293,-0.05505311495091138,0.001663276871617922,-0.1873101782460489,-0.6966225588306771,0.06988558284108928,23.24751491053678,True
5,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,749e4be051f2a7cbb41429f3732a10256a96a3daaf7e2f99803e4f252be2e3a3,-0.12560689445967563,-0.12301887218055553,0.0025880222791200974,-0.3907028284881108,-0.7098185553965267,0.10874043189580254,23.817097415506957,False
6,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,bf2877cc8a8c071a45a61e817246cf87ca37fa3fedccf690e1879322a18f1c51,-0.08029065479061834,-0.07577473701872134,0.004515917771896999,-0.24853475855891694,-0.6993282292413651,0.18974444419735345,23.911530815109344,True
7,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,3457264fd19bb36dbfec5d66d80b3b285e7a3b34f03846871c577075bab9db05,-0.1026586936007153,-0.09799764484919626,0.004661048751519042,-0.3242214857775885,-0.78634192793535,0.19584238451760813,24.794234592445328,True
8,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,7ac90fa76174e8650c89c232e43f9165c2959f90a4ca86e92816cb50146b1a7b,-0.06890230283995313,-0.061625983755873706,0.007276319084079427,-0.21770364487942268,-0.724240167968009,0.305727692608379,24.451292246520875,True
10,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,f82349daf6431a10566d386fc12f852e4db1869c7a4f5bbf6450af444a92b9fb,-0.10923464754065261,-0.0989480911940915,0.010286556346561115,-0.35277735886657524,-0.791129418005136,0.4322082498555064,24.84592445328032,False
15,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0038bb9dad16861f4f54cc19efa80e104f4f124c6c6cf5efc9f69fb6928e1ca9,-0.08907109710844215,-0.06862148337918499,0.02044961372925716,-0.28893015100724057,-0.7422549632143072,0.8592274676158476,24.501988071570576,True
20,20,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,a56fdd8243ce396a5862c25c3fd04b5ebfad26421f03da4f346f340d57ca9e1a,-0.12099818488376884,-0.09316877822207664,0.027829406661692202,-0.388186117771998,-0.7297637697308751,1.1693028009114468,23.566600397614312,False
