n_drop,topk,period,start,end,pred_hash,annualized_return_with_cost,annualized_return_without_cost,annualized_cost_drag,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,average_number_of_positions,n_backtest_days
1,20,2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.3684796866331257,-1.3658047608325687,0.0026749258005569487,-2.7866116642454837,-0.42998157677295556,0.11239184035954795,19.677419354838708,62
1,20,2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.2281643836614814,0.22823438876299665,7.000510151525252e-05,0.5788206911603468,-0.46533573921186144,0.0029413908199682356,20.99097065462754,443
1,20,2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.18239435702894136,-0.18220969518638877,0.00018466184255258589,-0.7109723013754713,-0.647992615113875,0.007758900947587383,20.942115768463072,501
2,20,2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.0871761876237036,-1.083179391101992,0.0039967965217115875,-2.6912456575288934,-0.3567922108207358,0.16793262696266797,20.0,62
2,20,2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.14186886132435245,0.14221830554028086,0.00034944421592841834,0.45837036645737284,-0.372415183458136,0.014682530081025682,21.864559819413092,443
2,20,2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.11448258291601833,-0.11159636438384082,0.0028862185321775063,-0.4212243482817982,-0.6875634547639757,0.12126968622594439,20.79441117764471,501
5,20,2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.2858673726401582,-1.274170553302983,0.011696819337175146,-2.214670179104278,-0.5469138503522576,0.491462997360276,19.677419354838708,62
5,20,2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.1583858209028694,0.16365448838631852,0.005268667483449119,0.48454625217913955,-0.44935899802227564,0.2213725833381997,22.613995485327315,443
5,20,2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1138341028093493,-0.10613762223430721,0.007696480575042089,-0.42610944511502025,-0.7153837698638159,0.32338153676647297,21.60079840319361,501
10,20,2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.050371109029542,-1.0291088599019185,0.021262249127623534,-1.8222931053820917,-0.46482154932859737,0.8933718120850138,20.0,62
10,20,2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.10648780710379853,0.11984123788458881,0.013353430780790279,0.34892273230484044,-0.45796026175284726,0.561068520201272,23.532731376975168,443
10,20,2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.12725290573257753,-0.1069453338004921,0.02030757193208542,-0.47502923490331517,-0.7421512007394664,0.8532593248775394,20.954091816367267,501
20,20,2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.4911167824054128,-1.460997918949449,0.030118863455963707,-2.569380952069942,-0.5086807070711763,1.2654984645363134,19.677419354838708,62
20,20,2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.09836079684607008,0.12787837793791695,0.02951758109184688,0.31943756826896086,-0.37858632366308853,1.2402344996574344,22.539503386004515,443
20,20,2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.12392966045902028,-0.09185551072021812,0.032074149738802155,-0.4635920746455951,-0.7081177419831304,1.3476533503698416,20.95808383233533,501
