datetime,abs_diff_pp,excess_diff_hi_minus_lo_pp,overlap_count,n_holdings_lo,n_holdings_hi,overlap_pct_of_max,only_in_lo,only_in_hi
2020-03-19,5.1302,-5.1302,10,21,20,47.6,"['P13142', 'P18420', 'P18428', 'P52708', 'P59459']","['P12981', 'P13356', 'P13936', 'P16431', 'P16678']"
2020-03-18,4.7627,4.7627,10,21,22,45.5,"['P13142', 'P18420', 'P18428', 'P52708', 'P59459']","['P12981', 'P13356', 'P13936', 'P16431', 'P16678']"
2020-03-23,4.2711,-4.2711,10,22,21,45.5,"['P13142', 'P13721', 'P18420', 'P45751', 'P52708']","['P12981', 'P13356', 'P13936', 'P16678', 'P18724']"
2022-05-09,4.2482,-4.2482,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2023-05-04,3.3477,-3.3477,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2020-09-21,3.268,-3.268,7,21,21,33.3,"['P13447', 'P13928', 'P13936', 'P18420', 'P24643']","['P12650', 'P13760', 'P21776', 'P49154', 'P53613']"
2021-10-01,2.9934,2.9934,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2021-03-15,2.9285,2.9285,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2020-03-30,2.8687,2.8687,7,21,20,33.3,"['P13721', 'P13983', 'P18420', 'P52708', 'P59459']","['P12981', 'P13356', 'P13936', 'P16678', 'P18724']"
2020-11-04,2.8257,-2.8257,12,22,22,54.5,"['P13936', 'P21020', 'P21186', 'P24643', 'P42906']","['P12345', 'P12650', 'P13103', 'P14889', 'P25232']"
2021-11-02,2.8062,-2.8062,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2020-07-15,2.7587,2.7587,8,21,21,38.1,"['P34833', 'P36003', 'P42906', 'P46578', 'P52708']","['P12542', 'P21020', 'P21776', 'P30681', 'P38703']"
2020-05-28,2.7282,-2.7282,8,21,20,38.1,"['P13721', 'P24643', 'P25232', 'P35554', 'P46578']","['P12431', 'P14889', 'P15069', 'P15980', 'P18421']"
2022-08-24,2.6606,2.6606,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2022-04-21,2.6014,-2.6014,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2022-03-10,2.5686,2.5686,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2022-05-03,2.5602,2.5602,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2020-03-24,2.5016,-2.5016,10,21,22,45.5,"['P13721', 'P18420', 'P45751', 'P52708', 'P59459']","['P12981', 'P13356', 'P13936', 'P16678', 'P18724']"
2021-01-14,2.4751,2.4751,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
2021-02-24,2.4748,2.4748,8,22,22,36.4,"['P12872', 'P13963', 'P18428', 'P21186', 'P27828']","['P12542', 'P12650', 'P13928', 'P21371', 'P28484']"
