period,start,end,pred_hash,hold_thresh,annualized_return_with_cost,annualized_return_without_cost,annualized_cost_drag,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,average_number_of_positions,n_backtest_days
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,1,-0.11130933664717046,-0.11065286691622354,0.0006564697309469208,-0.37059827433208153,-0.809844659491796,0.027582761804492182,21.693836978131213,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,2,-0.10246894042961666,-0.10194124096921506,0.0005276994604015983,-0.32899835985550185,-0.6573986026439543,0.02217224623536163,21.765407554671967,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,3,-0.0944198365169054,-0.09389113459766492,0.0005287019192404818,-0.3004246869298533,-0.846665884933493,0.022214366354641017,21.74155069582505,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,4,-0.218013800178633,-0.2173871629540178,0.0006266372246152008,-0.6993551782017762,-1.0871009865033427,0.026329295151899433,21.71272365805169,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,5,-0.05977081094642721,-0.05951456898369034,0.0002562419627368667,-0.2184186032126431,-0.6106651662730965,0.010766469022557925,21.8727634194831,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,6,-0.14814333899682366,-0.1478181884606727,0.00032515053615095324,-0.488498335092019,-0.8221747731252277,0.013661787233232386,21.843936381709742,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,8,-0.15100040142286286,-0.15078391823302395,0.0002164831898389119,-0.4745744868842135,-0.838551616575756,0.00909593234617344,21.887673956262425,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,10,-0.1312415234691578,-0.13077852391949132,0.0004629995496664707,-0.40920940940989,-0.8127273360747161,0.019453762591027674,21.777335984095426,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,15,-0.09957598946722149,-0.09924170713213931,0.00033428233508217553,-0.3139781740709767,-0.7424290994382579,0.014045476263957506,21.82803180914513,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,20,-0.07628266857074595,-0.07610152625585503,0.00018114231489091415,-0.2280196600372792,-0.7042458057062289,0.007611021634072108,21.907554671968192,1006
