period,start,end,pred_hash,cost_bps,open_cost,close_cost,min_cost,annualized_return_with_cost,annualized_return_without_cost,annualized_cost_drag,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,mean_daily_cost,average_number_of_positions,n_backtest_days
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0,0.0,0.0,0,-0.11065413360086404,-0.11065413360086404,0.0,-0.36840042383359173,-0.8098968570135807,0.027586659345172296,0.0,21.693836978131213,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,1,0.0001,0.0001,0,-0.11130933664717048,-0.11065286691622354,0.0006564697309469347,-0.37059827433208153,-0.8098446594917963,0.027582761804492182,2.7582761804492204e-06,21.693836978131213,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,5,0.0005,0.0005,0,-0.11393595166069942,-0.11065546113497716,0.0032804905257222544,-0.3794134231727234,-0.8096552350556496,0.02756714727497684,1.3783573637488427e-05,21.693836978131213,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,10,0.001,0.001,0,-0.11721473257347471,-0.11065840559309202,0.006556326980382693,-0.39042048106777577,-0.809417980017972,0.027547592354549236,2.7547592354549257e-05,21.693836978131213,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,20,0.002,0.002,0,-0.12375786901346827,-0.1106638539678714,0.013094015045596874,-0.41240004803988084,-0.8089302747770017,0.0275084349697414,5.501686993948273e-05,21.693836978131213,1006
full_sample_2020_2023,2020-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,50,0.005,0.005,0,-0.1432646384845456,-0.11066873832087626,0.03259590016366934,-0.47801153818556635,-0.8085447682023366,0.0273915127425793,0.0001369575637128964,21.693836978131213,1006
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0,0.0,0.0,0,-1.0832145833354685,-1.0832145833354685,0.0,-2.6811900575390912,-0.35638496534717,0.167950531526794,0.0,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,1,0.0001,0.0001,0,-1.0871761876237047,-1.0831793911019931,0.0039967965217115875,-2.691245657528896,-0.35679221082073564,0.16793262696266797,1.6793262696266812e-05,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,5,0.0005,0.0005,0,-1.1029676613548538,-1.0829922313838067,0.019975429971047065,-2.7313649935184685,-0.3584083199064856,0.1678607560592154,8.393037802960768e-05,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,10,0.001,0.001,0,-1.1226950414583081,-1.0827655390699606,0.03992950238834747,-2.78150161954692,-0.36042982171536453,0.16777101843843428,0.00016777101843843436,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,20,0.002,0.002,0,-1.1620834117152457,-1.0823098073476587,0.07977360436758696,-2.8817073708854837,-0.36446430708938593,0.16759160581425883,0.0003351832116285175,20.0,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,50,0.005,0.005,0,-1.2797354442730455,-1.0809405354044486,0.19879490886859696,-3.181678292790371,-0.37753148887825566,0.16705454526772837,0.0008352727263386415,20.0,62
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0,0.0,0.0,0,0.142228648206103,0.142228648206103,0.0,0.45951447201480794,-0.3724458873419684,0.014684523788741785,0.0,21.864559819413092,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,1,0.0001,0.0001,0,0.1418688613243525,0.1422183055402809,0.0003494442159283906,0.4583703664573732,-0.37241518345813635,0.014682530081025682,1.4682530081025678e-06,21.864559819413092,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,5,0.0005,0.0005,0,0.14043179156449884,0.1421780652095756,0.0017462736450767624,0.4537972946825218,-0.37229137029054266,0.014674568446023592,7.337284223011792e-06,21.864559819413092,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,10,0.001,0.001,0,0.13863733173111753,0.142127503747912,0.0034901720167944683,0.4480846768042044,-0.37213568239369305,0.014664588305858964,1.4664588305858966e-05,21.864559819413092,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,20,0.002,0.002,0,0.13505498679547787,0.14202584307851168,0.006970856283033816,0.4366716596160365,-0.37182580921590747,0.014644656056793647,2.9289312113587295e-05,21.864559819413092,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,50,0.005,0.005,0,0.12436220615991253,0.14171844646988954,0.01735624030997701,0.4025370015407228,-0.37088766840764564,0.014585075890736989,7.292537945368494e-05,21.864559819413092,443
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0,0.0,0.0,0,-0.11159385247421805,-0.11159385247421805,0.0,-0.4105927410741005,-0.6853159763047016,0.1212852262508616,0.0,20.79441117764471,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,1,0.0001,0.0001,0,-0.11448258291601827,-0.11159636438384082,0.002886218532177451,-0.4212243482817983,-0.6875634547639757,0.12126968622594436,1.212696862259443e-05,20.79441117764471,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,5,0.0005,0.0005,0,-0.12603323142997688,-0.11160948385633282,0.014423747573644063,-0.46373470126014193,-0.6965510883824169,0.12120796280373154,6.060398140186581e-05,20.79441117764471,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,10,0.001,0.001,0,-0.1404542144085296,-0.11162509352643454,0.02882912088209505,-0.5168068937439068,-0.7079714945220568,0.12113076000880288,0.00012113076000880276,20.79441117764471,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,20,0.002,0.002,0,-0.16924422351227564,-0.11165964164807256,0.05758458186420308,-0.6227489964016256,-0.7483827084700045,0.12097601231975398,0.00024195202463950837,20.79441117764471,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,50,0.005,0.005,0,-0.25517630133561736,-0.11176674274433727,0.14340955859128007,-0.9387648449379458,-0.8689356057769791,0.1205122341103193,0.0006025611705515969,20.79441117764471,501
