level,mean_daily,annualized_return,information_ratio,max_drawdown,n_days
L0_static_top20_today_excess_label,-0.00010199317727426075,-0.024274376191274094,-0.075509975173968,-0.6108653038740158,990
L1_static_top20_lag1_excess_label,-0.00045164827750835665,-0.10749229004698888,-0.35449672010517874,-0.7260477331123857,989
L2_held_ew_excess_label,-0.00026009719503952765,-0.061903132419407564,-0.19111928072642453,-0.7410650277152107,994
L3_held_weighted_excess_label,-0.0003428953419162573,-0.08160909137606925,-0.26100307171777914,-0.7884989452438014,994
L4_static_top20_today_excess_cc,,,,,0
L5_static_top20_lag1_excess_cc,,,,,0
L6_held_ew_excess_cc,-0.0003026104223669404,-0.07202128052333182,-0.16298909871734815,-0.7899931464714026,1005
L7_ideal_daily_ew_rebal_top20_excess_cc,-0.0006958766600239891,-0.16561864508570942,-0.3327771861917039,-1.3603404825710683,1005
L8_portfolio_excess_without_cost,-0.00044717283819065867,-0.10642713548937677,-0.3543131755649788,-0.8098446594917956,1005
L9_portfolio_excess_with_cost,-0.00044993385892452137,-0.10708425842403609,-0.35650281504808656,-0.8098446594917958,1005
