period,start,end,topk,config,pred_hash,annualized_return_with_cost,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,n_backtest_days
2020Q1_COVID,2020-01-01,2020-03-31,10,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk10.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.439979783313894,-2.31207658562212,-0.6419245888477711,0.4007376592833437,62
2020Q2_2021_recovery,2020-04-01,2021-12-31,10,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk10.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.10862735109175752,0.3099740919294716,-0.46123580037194367,0.07942546085337834,443
2022_2023_post_covid,2022-01-01,2023-12-31,10,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk10.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.20349523797482352,-0.6741154384136147,-0.8523195800161341,0.2388328750382779,501
2020Q1_COVID,2020-01-01,2020-03-31,20,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/baseline.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.0871761876237045,-2.6912456575288983,-0.35679221082073603,0.16793262696266797,62
2020Q2_2021_recovery,2020-04-01,2021-12-31,20,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/baseline.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.1418688613243524,0.45837036645737295,-0.37241518345813607,0.014682530081025682,443
2022_2023_post_covid,2022-01-01,2023-12-31,20,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/baseline.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.11448258291601833,-0.4212243482817982,-0.6875634547639755,0.12126968622594439,501
2020Q1_COVID,2020-01-01,2020-03-31,50,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk50.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.0106059571760464,-2.4431778836683526,-0.33982761868499217,0.07812760518546287,62
2020Q2_2021_recovery,2020-04-01,2021-12-31,50,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk50.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.07543707548832272,0.2597706795753916,-0.47679871949043384,0.007557383019544732,443
2022_2023_post_covid,2022-01-01,2023-12-31,50,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk50.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.08242068900293216,-0.3153097869767424,-0.6334841804436133,0.013265714576523665,501
2020Q1_COVID,2020-01-01,2020-03-31,100,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk100.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-1.014929163867884,-2.4237911311320466,-0.3439606223758522,0.05475186253325149,62
2020Q2_2021_recovery,2020-04-01,2021-12-31,100,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk100.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,0.06013392531923346,0.22328015633297385,-0.4238419668059894,0.005143475925763554,443
2022_2023_post_covid,2022-01-01,2023-12-31,100,/Users/yufei/RD-Agent/phase3_portfolio_ablation/configs/topk100.yaml,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,-0.1184389864780001,-0.4556188315240725,-0.6392884481844385,0.005489409359140744,501
