instrument,appearances,mean_label,min_label,worst_day
P80100,1,-0.23683321475982666,-0.23683321475982666,2020-03-16
P79637,1,-0.22257113456726074,-0.22257113456726074,2020-03-12
P82775,1,-0.21194839477539062,-0.21194839477539062,2020-03-16
P59459,1,-0.20800375938415527,-0.20800375938415527,2020-03-12
P66384,1,-0.2044476866722107,-0.2044476866722107,2020-03-12
P77661,1,-0.20229005813598633,-0.20229005813598633,2020-03-12
P85265,1,-0.2017596960067749,-0.2017596960067749,2020-03-12
P13936,1,-0.1905045509338379,-0.1905045509338379,2020-03-12
P23819,1,-0.18007659912109375,-0.18007659912109375,2020-03-10
P15202,1,-0.17614805698394775,-0.17614805698394775,2020-03-16
P57817,1,-0.17270082235336304,-0.17270082235336304,2020-03-10
P35044,1,-0.1711711287498474,-0.1711711287498474,2020-03-16
P12558,1,-0.16709774732589722,-0.16709774732589722,2020-03-05
P89258,1,-0.16573560237884521,-0.16573560237884521,2020-03-05
P77462,1,-0.16438359022140503,-0.16438359022140503,2020-03-12
P54148,1,-0.15721088647842407,-0.15721088647842407,2020-03-16
P46703,1,-0.15687990188598633,-0.15687990188598633,2020-03-12
P16431,1,-0.15283262729644775,-0.15283262729644775,2020-03-16
P61815,1,-0.15270274877548218,-0.15270274877548218,2020-03-10
P12650,1,-0.15189015865325928,-0.15189015865325928,2020-03-05
P90808,1,-0.1516890525817871,-0.1516890525817871,2020-03-10
P90979,1,-0.14850616455078125,-0.14850616455078125,2020-03-10
P12345,1,-0.14685183763504028,-0.14685183763504028,2020-03-10
P85072,1,-0.14425718784332275,-0.14425718784332275,2020-03-12
P85257,1,-0.13849979639053345,-0.13849979639053345,2020-03-05
P90090,1,-0.13674241304397583,-0.13674241304397583,2022-06-09
P80204,1,-0.13548552989959717,-0.13548552989959717,2020-03-12
P85792,1,-0.1312761902809143,-0.1312761902809143,2020-03-05
P62308,1,-0.13070738315582275,-0.13070738315582275,2020-03-10
P11891,1,-0.13035106658935547,-0.13035106658935547,2020-03-09
P85926,1,-0.12206101417541504,-0.12206101417541504,2020-03-16
P28388,1,-0.1200113296508789,-0.1200113296508789,2020-03-16
P80191,1,-0.11670702695846558,-0.11670702695846558,2020-03-05
P11850,1,-0.11434018611907959,-0.11434018611907959,2020-03-10
P81055,1,-0.11204278469085693,-0.11204278469085693,2020-03-05
P19583,1,-0.10505211353302002,-0.10505211353302002,2020-03-09
P49015,1,-0.10225343704223633,-0.10225343704223633,2020-03-09
P53065,1,-0.09031933546066284,-0.09031933546066284,2020-03-05
P25419,1,-0.09024733304977417,-0.09024733304977417,2020-06-09
P17743,1,-0.08967393636703491,-0.08967393636703491,2020-03-05
P52230,1,-0.08948230743408203,-0.08948230743408203,2020-03-05
P14579,1,-0.08794456720352173,-0.08794456720352173,2022-06-09
P14295,1,-0.08772951364517212,-0.08772951364517212,2020-03-09
P70033,1,-0.08742088079452515,-0.08742088079452515,2020-03-09
P64282,1,-0.08671212196350098,-0.08671212196350098,2022-03-03
P81045,1,-0.08613336086273193,-0.08613336086273193,2020-02-25
P79323,1,-0.08397114276885986,-0.08397114276885986,2020-03-12
P83862,1,-0.08351606130599976,-0.08351606130599976,2020-06-09
P89179,1,-0.08317732810974121,-0.08317732810974121,2020-06-09
P22779,1,-0.08196723461151123,-0.08196723461151123,2020-06-09
P19502,1,-0.07971996068954468,-0.07971996068954468,2020-06-09
P38703,1,-0.07839226722717285,-0.07839226722717285,2020-03-09
P85035,1,-0.07697248458862305,-0.07697248458862305,2022-09-09
P59248,1,-0.07468360662460327,-0.07468360662460327,2020-06-09
P76744,1,-0.07388579845428467,-0.07388579845428467,2020-03-10
P58413,1,-0.07385885715484619,-0.07385885715484619,2020-06-09
P88446,1,-0.07335227727890015,-0.07335227727890015,2020-03-16
P85663,1,-0.07168126106262207,-0.07168126106262207,2020-03-09
P79782,1,-0.07142859697341919,-0.07142859697341919,2020-06-09
P15488,1,-0.07036566734313965,-0.07036566734313965,2022-06-09
P88182,1,-0.06995820999145508,-0.06995820999145508,2022-09-09
P76709,1,-0.06946545839309692,-0.06946545839309692,2022-09-09
P10145,1,-0.06929665803909302,-0.06929665803909302,2020-06-09
P87541,1,-0.06826812028884888,-0.06826812028884888,2020-06-09
P67598,1,-0.06818181276321411,-0.06818181276321411,2020-06-09
P86979,1,-0.06735271215438843,-0.06735271215438843,2020-03-05
P52329,1,-0.06521081924438477,-0.06521081924438477,2020-02-25
P21371,1,-0.06514525413513184,-0.06514525413513184,2020-03-05
P93246,1,-0.06493312120437622,-0.06493312120437622,2022-06-09
P69649,1,-0.06383568048477173,-0.06383568048477173,2020-03-09
P10696,1,-0.0634772777557373,-0.0634772777557373,2020-03-05
P80711,1,-0.06299656629562378,-0.06299656629562378,2020-02-25
P85631,1,-0.06296265125274658,-0.06296265125274658,2020-03-12
P66157,1,-0.06288814544677734,-0.06288814544677734,2020-03-09
P14338,1,-0.062322914600372314,-0.062322914600372314,2022-03-03
P90319,1,-0.061702191829681396,-0.061702191829681396,2020-03-05
P16678,1,-0.06165647506713867,-0.06165647506713867,2020-03-09
P39490,1,-0.05939394235610962,-0.05939394235610962,2020-03-10
P76095,1,-0.05878615379333496,-0.05878615379333496,2020-03-16
P79547,1,-0.058781206607818604,-0.058781206607818604,2020-02-25
P14593,1,-0.05867958068847656,-0.05867958068847656,2022-09-09
P21207,1,-0.05809718370437622,-0.05809718370437622,2020-02-25
P87447,1,-0.057769834995269775,-0.057769834995269775,2020-06-09
P85592,1,-0.057048022747039795,-0.057048022747039795,2020-06-09
P15850,1,-0.056859612464904785,-0.056859612464904785,2022-06-09
P43350,1,-0.05629098415374756,-0.05629098415374756,2022-03-03
P90373,1,-0.05514645576477051,-0.05514645576477051,2020-02-25
P45751,1,-0.05479323863983154,-0.05479323863983154,2020-03-05
P91556,1,-0.05390608310699463,-0.05390608310699463,2022-09-09
P90664,1,-0.0531960129737854,-0.0531960129737854,2022-09-09
P14702,1,-0.0518530011177063,-0.0518530011177063,2022-03-03
P19285,1,-0.05135136842727661,-0.05135136842727661,2020-06-09
P92614,1,-0.05132526159286499,-0.05132526159286499,2022-06-09
P24205,1,-0.05054366588592529,-0.05054366588592529,2020-02-25
P61241,1,-0.05036431550979614,-0.05036431550979614,2022-03-03
P18411,1,-0.05000758171081543,-0.05000758171081543,2020-02-25
P11403,1,-0.04996311664581299,-0.04996311664581299,2022-06-09
P21776,1,-0.04874998331069946,-0.04874998331069946,2020-06-09
P23712,1,-0.04858732223510742,-0.04858732223510742,2020-02-25
P75107,1,-0.048068344593048096,-0.048068344593048096,2022-03-03
P79698,1,-0.045693814754486084,-0.045693814754486084,2022-03-03
P18420,1,-0.04568880796432495,-0.04568880796432495,2020-03-09
P78975,1,-0.0451970100402832,-0.0451970100402832,2022-06-09
P15720,1,-0.04517132043838501,-0.04517132043838501,2020-03-16
P82642,1,-0.04497349262237549,-0.04497349262237549,2022-06-09
P91233,1,-0.04483950138092041,-0.04483950138092041,2022-06-09
P72726,1,-0.04477351903915405,-0.04477351903915405,2020-03-09
P92322,1,-0.04340708255767822,-0.04340708255767822,2022-03-03
P93132,1,-0.04293811321258545,-0.04293811321258545,2020-06-09
P24109,1,-0.04228651523590088,-0.04228651523590088,2020-06-09
P44206,1,-0.04215705394744873,-0.04215705394744873,2020-02-25
P92402,1,-0.041580259799957275,-0.041580259799957275,2022-06-09
P92778,1,-0.040326476097106934,-0.040326476097106934,2020-06-09
P76795,1,-0.04018336534500122,-0.04018336534500122,2022-06-09
P28484,1,-0.040031611919403076,-0.040031611919403076,2022-03-03
P38762,1,-0.03947901725769043,-0.03947901725769043,2020-03-16
P90248,1,-0.03857976198196411,-0.03857976198196411,2022-09-09
P12084,1,-0.03814113140106201,-0.03814113140106201,2022-03-03
P10107,1,-0.0377768874168396,-0.0377768874168396,2022-03-03
P18143,1,-0.03709632158279419,-0.03709632158279419,2022-03-03
P92602,1,-0.036869585514068604,-0.036869585514068604,2020-02-25
P79545,1,-0.035984158515930176,-0.035984158515930176,2020-03-09
P82686,1,-0.035861432552337646,-0.035861432552337646,2020-02-25
P87299,1,-0.034903883934020996,-0.034903883934020996,2020-02-25
P18729,1,-0.03475379943847656,-0.03475379943847656,2020-03-05
P14714,1,-0.03458458185195923,-0.03458458185195923,2022-03-03
P92157,1,-0.03447073698043823,-0.03447073698043823,2020-02-25
P61735,1,-0.033910393714904785,-0.033910393714904785,2022-09-09
P88031,1,-0.03248327970504761,-0.03248327970504761,2020-02-25
P46674,1,-0.03193378448486328,-0.03193378448486328,2022-09-09
P89006,1,-0.03090190887451172,-0.03090190887451172,2020-03-05
P89626,1,-0.030617892742156982,-0.030617892742156982,2022-09-09
P49680,1,-0.030459702014923096,-0.030459702014923096,2022-06-09
P13949,1,-0.029980838298797607,-0.029980838298797607,2022-09-09
P87137,1,-0.029779493808746338,-0.029779493808746338,2022-09-09
P55976,1,-0.02970641851425171,-0.02970641851425171,2020-02-25
P58246,1,-0.029577016830444336,-0.029577016830444336,2022-06-09
P84769,1,-0.02879577875137329,-0.02879577875137329,2022-09-09
P27887,1,-0.027601242065429688,-0.027601242065429688,2022-09-09
P18163,1,-0.02676999568939209,-0.02676999568939209,2022-06-09
P15069,1,-0.026102900505065918,-0.026102900505065918,2022-09-09
P11308,1,-0.023813307285308838,-0.023813307285308838,2022-03-03
P44329,1,-0.02374744415283203,-0.02374744415283203,2020-02-25
P40539,1,-0.023224055767059326,-0.023224055767059326,2020-03-05
P79103,1,-0.02026432752609253,-0.02026432752609253,2022-03-03
P16600,1,-0.018839716911315918,-0.018839716911315918,2022-09-09
P89781,1,-0.01708841323852539,-0.01708841323852539,2022-09-09
P37584,1,-0.016080021858215332,-0.016080021858215332,2020-02-25
P77182,1,-0.015986204147338867,-0.015986204147338867,2020-03-12
P90454,1,-0.014603257179260254,-0.014603257179260254,2020-02-25
P42585,1,-0.014568626880645752,-0.014568626880645752,2022-09-09
P48725,1,-0.014446735382080078,-0.014446735382080078,2022-06-09
P77338,1,-0.013975262641906738,-0.013975262641906738,2022-06-09
P44601,1,-0.011714041233062744,-0.011714041233062744,2020-03-16
P60986,1,-0.011602640151977539,-0.011602640151977539,2020-03-09
P76605,1,-0.008954107761383057,-0.008954107761383057,2020-02-25
P76614,1,-0.0029335618019104004,-0.0029335618019104004,2022-03-03
P64390,1,-0.0001760721206665039,-0.0001760721206665039,2022-06-09
P79785,1,0.006480216979980469,0.006480216979980469,2020-03-16
P34833,1,0.007627129554748535,0.007627129554748535,2020-03-10
P23536,1,0.008878588676452637,0.008878588676452637,2022-03-03
P13928,1,0.00997304916381836,0.00997304916381836,2022-03-03
P65402,1,0.013131260871887207,0.013131260871887207,2020-02-25
P80286,1,0.027344942092895508,0.027344942092895508,2020-03-16
P21178,1,0.045729637145996094,0.045729637145996094,2020-03-16
P19561,2,-0.20978578925132751,-0.23848414421081543,2020-03-10
P81655,2,-0.19831600785255432,-0.24663203954696655,2020-03-12
P79145,2,-0.19585368037223816,-0.3177822232246399,2020-03-10
P21792,2,-0.17770591378211975,-0.1974276304244995,2020-03-10
P78987,2,-0.1532200276851654,-0.20294415950775146,2020-03-12
P84032,2,-0.1515076458454132,-0.16984736919403076,2020-03-10
P34746,2,-0.1376679539680481,-0.17567569017410278,2020-03-10
P24942,2,-0.13099214434623718,-0.13526850938796997,2020-03-16
P81774,2,-0.12807929515838623,-0.1805555820465088,2020-03-16
P32707,2,-0.12340569496154785,-0.20239877700805664,2020-03-10
P40125,2,-0.11856913566589355,-0.18259286880493164,2020-03-10
P92239,2,-0.11285707354545593,-0.1465889811515808,2020-03-10
P77129,2,-0.11089169979095459,-0.19818460941314697,2020-03-12
P91103,2,-0.10567936301231384,-0.1500954031944275,2022-03-03
P58683,2,-0.10091942548751831,-0.11604738235473633,2022-03-03
P52708,2,-0.09748002886772156,-0.11581355333328247,2020-03-16
P75825,2,-0.09567603468894958,-0.16366440057754517,2020-03-10
P82303,2,-0.09505084156990051,-0.14303815364837646,2020-03-16
P11786,2,-0.08680444955825806,-0.09198880195617676,2020-03-09
P81481,2,-0.08511775732040405,-0.14231526851654053,2020-03-16
P84129,2,-0.08412125706672668,-0.09721273183822632,2020-03-12
P12060,2,-0.07952219247817993,-0.08672797679901123,2020-03-09
P90829,2,-0.07405495643615723,-0.13294804096221924,2020-03-12
P18542,2,-0.07312369346618652,-0.08372229337692261,2020-03-10
P52978,2,-0.07221108675003052,-0.14591944217681885,2020-03-10
P76712,2,-0.06896725296974182,-0.07365226745605469,2022-06-09
P91937,2,-0.0687183141708374,-0.09230595827102661,2020-03-05
P80320,2,-0.06630581617355347,-0.07406467199325562,2022-03-03
P89641,2,-0.06244456768035889,-0.07355868816375732,2020-06-09
P15980,2,-0.06234794855117798,-0.09554135799407959,2020-03-09
P75819,2,-0.061917275190353394,-0.09471988677978516,2020-03-05
P89017,2,-0.061716288328170776,-0.0749586820602417,2020-03-05
P13963,2,-0.055016905069351196,-0.06574070453643799,2020-03-09
P85348,2,-0.05474621057510376,-0.06375837326049805,2020-03-05
P25785,2,-0.054493993520736694,-0.057507991790771484,2020-03-09
P61516,2,-0.052272677421569824,-0.05558425188064575,2022-03-03
P77649,2,-0.04998871684074402,-0.07342547178268433,2020-03-05
P12431,2,-0.047999292612075806,-0.050956785678863525,2020-06-09
P14704,2,-0.04524144530296326,-0.04836493730545044,2020-06-09
P45356,2,-0.04373365640640259,-0.06394129991531372,2020-03-05
P76230,2,-0.04345285892486572,-0.044223785400390625,2022-03-03
P86356,2,-0.041940659284591675,-0.05997365713119507,2020-03-05
P84381,2,-0.04133644700050354,-0.04591101408004761,2020-02-25
P76226,2,-0.03857949376106262,-0.04160130023956299,2020-03-16
P88661,2,-0.03748336434364319,-0.0878552794456482,2020-03-16
P91849,2,-0.01817414164543152,-0.0352630615234375,2022-03-03
P52090,2,-0.003454148769378662,-0.023707151412963867,2020-03-16
P25232,3,-0.18304437398910522,-0.28478366136550903,2020-03-10
P12872,3,-0.131386399269104,-0.2700892686843872,2020-03-10
P27983,3,-0.12076987822850545,-0.1880081295967102,2020-03-16
P30940,3,-0.10742410024007161,-0.12519443035125732,2020-03-10
P18428,3,-0.10167616605758667,-0.15434080362319946,2020-03-10
P80080,3,-0.09544823567072551,-0.13603973388671875,2020-03-10
P19350,3,-0.08772937456766765,-0.13608229160308838,2020-03-12
P32803,3,-0.08615350723266602,-0.12115734815597534,2020-03-10
P24643,3,-0.084805428981781,-0.11161476373672485,2020-03-16
P27828,3,-0.06874626874923706,-0.11443251371383667,2020-03-05
P13964,3,-0.04680065313975016,-0.0547294020652771,2022-03-03
P89002,4,-0.2049105316400528,-0.2706524133682251,2020-03-10
P77606,4,-0.1521049439907074,-0.20492136478424072,2020-03-10
